Objecttype;Clustercode;Dakpartner;Betrokken Projectleider Techniek Daken;Jaar laatste dakonderhoud;Dakveiligheidsvoorzieningen aangebracht?;Bliksembeveiliging;Antenneopstelplaats
Building;10000;Cazdak;Anton Jansen;;;Ja;
Building;10001;Cazdak;Anton Jansen;;;Ja;
Building;10002;Cazdak;Anton Jansen;;;;
Building;10003;Cazdak;Anton Jansen;;;Ja;T-Mobile
Building;10004;Cazdak;Anton Jansen;;;;
Building;10005;Cazdak;Anton Jansen;;;;
Building;10006;Cazdak;Anton Jansen;;;;
Building;10007;Cazdak;Anton Jansen;;;;
Building;10008;Cazdak;Anton Jansen;;;;
Building;10009;Cazdak;Anton Jansen;;;;
Building;10010;Cazdak;Anton Jansen;;;;Vodafone
Building;10011;Cazdak;Anton Jansen;;;;
Building;10012;Cazdak;Anton Jansen;;;;
Building;11000;Cazdak;Anton Jansen;;;Ja;
Building;11001;Cazdak;Anton Jansen;;Ja;;
Building;11002;Cazdak;Anton Jansen;;;;
Building;11003;Cazdak;Anton Jansen;;;;
Building;11004;Cazdak;Anton Jansen;;Ja;;
Building;11005;Cazdak;Anton Jansen;;;;
Building;11006;Cazdak;Anton Jansen;;;;
Building;11007;Cazdak;Anton Jansen;;;;
Building;11011;Cazdak;Anton Jansen;;;;
Building;11021;Cazdak;Anton Jansen;;;;
Building;11022;Cazdak;Anton Jansen;;Ja;;
Building;11023;Cazdak;Anton Jansen;;Nee;;
Building;11024;Cazdak;Anton Jansen;;;;
Building;11031;Cazdak;Anton Jansen;;;;
Building;11032;Cazdak;Anton Jansen;;Ja;;
Building;11041;Cazdak;Anton Jansen;;Ja;;
Building;11042;Cazdak;Anton Jansen;;Ja;;
Building;11061;Cazdak;Anton Jansen;;Ja;;
Building;11062;Cazdak;Anton Jansen;;;;
Building;11063;Cazdak;Anton Jansen;;;;
Building;11064;Cazdak;Anton Jansen;;;;
Building;11065;Cazdak;Anton Jansen;;;;
Building;11067;Cazdak;Anton Jansen;;Ja;;
Building;11071;Cazdak;Anton Jansen;;;;
Building;11072;Cazdak;Anton Jansen;;;;
Building;11081;Cazdak;Anton Jansen;;;;
Building;11091;Cazdak;Anton Jansen;;Nee;;
Building;11101;Cazdak;Anton Jansen;;Ja;;
Building;11102;Cazdak;Anton Jansen;;Ja;;
Building;11103;Cazdak;Anton Jansen;;Ja;;
Building;11104;Cazdak;Anton Jansen;;Ja;;
Building;11111;Cazdak;Anton Jansen;;;;
Building;11121;Cazdak;Anton Jansen;;Ja;;
Building;11122;Cazdak;Anton Jansen;;Nee;;KPN
Building;11131;Cazdak;Anton Jansen;;;;
Building;11132;Cazdak;Anton Jansen;;Nee;;
Building;11143;Cazdak;Anton Jansen;;;;
Building;11144;Cazdak;Anton Jansen;;;;
Building;11161;Cazdak;Anton Jansen;;Ja;;
Building;11171;Cazdak;Anton Jansen;;;;
Building;11172;Cazdak;Anton Jansen;;;;
Building;11174;Cazdak;Anton Jansen;;;;
Building;11182;Cazdak;Anton Jansen;;;;
Building;11183;Cazdak;Anton Jansen;;;;
Building;11231;Cazdak;Anton Jansen;;;;
Building;11241;Cazdak;Anton Jansen;;Ja;;
Building;11251;Cazdak;Anton Jansen;;;;
Building;11341;Cazdak;Anton Jansen;;;;
Building;11351;Cazdak;Anton Jansen;;Ja;;KPN
Building;11352;Cazdak;Anton Jansen;;;;
Building;11353;Cazdak;Anton Jansen;;;;
Building;11354;Cazdak;Anton Jansen;;;;
Building;11355;Cazdak;Anton Jansen;;;;
Building;11361;Cazdak;Anton Jansen;;;;
Building;11371;Cazdak;Anton Jansen;;;;
Building;11381;Cazdak;Anton Jansen;;;;
Building;11391;Cazdak;Anton Jansen;;;;
Building;11392;Cazdak;Anton Jansen;;;;
Building;11393;Cazdak;Anton Jansen;;;;
Building;11394;Cazdak;Anton Jansen;;;;
Building;11395;Cazdak;Anton Jansen;;;;
Building;11396;Cazdak;Anton Jansen;;;;
Building;11397;Cazdak;Anton Jansen;;;;
Building;11401;Cazdak;Anton Jansen;;;;
Building;11402;Cazdak;Anton Jansen;;;;
Building;11411;Cazdak;Anton Jansen;;;;
Building;11412;Cazdak;Anton Jansen;;;;
Building;11413;Cazdak;Anton Jansen;;Ja;;
Building;11421;Cazdak;Anton Jansen;;;;
Building;11422;Cazdak;Anton Jansen;;;;
Building;11431;Cazdak;Anton Jansen;;;;
Building;11432;Cazdak;Anton Jansen;;Nee;;
Building;11433;Cazdak;Anton Jansen;;;;
Building;11434;Cazdak;Anton Jansen;;;;
Building;11441;Cazdak;Anton Jansen;;;;
Building;11451;Cazdak;Anton Jansen;;;Ja;
Building;11452;Cazdak;Anton Jansen;;Nee;Ja;
Building;11461;Cazdak;Anton Jansen;;;;
Building;11462;Cazdak;Anton Jansen;;Ja;;
Building;11463;Cazdak;Anton Jansen;;Ja;;
Building;11464;Cazdak;Anton Jansen;;;;
Building;11465;Cazdak;Anton Jansen;;Ja;;
Building;11471;Cazdak;Anton Jansen;;;;
Building;11481;Cazdak;Anton Jansen;;Ja;;T-Mobile
Building;11491;Cazdak;Anton Jansen;;;;
Building;11501;Cazdak;Anton Jansen;;;;
Building;11502;Cazdak;Anton Jansen;;;;
Building;11503;Cazdak;Anton Jansen;;;;
Building;11504;Cazdak;Anton Jansen;;;;
Building;11531;Cazdak;Anton Jansen;;;;
Building;11541;Cazdak;Anton Jansen;;;;
Building;11551;Cazdak;Anton Jansen;;;;
Building;11561;Cazdak;Anton Jansen;;;;
Building;11562;Cazdak;Anton Jansen;;Ja;;
Building;11571;Cazdak;Anton Jansen;;;;
Building;11581;Cazdak;Anton Jansen;;;;
Building;11582;Cazdak;Anton Jansen;;;;
Building;11583;Cazdak;Anton Jansen;;;;
Building;11584;Cazdak;Anton Jansen;;;;
Building;11585;Cazdak;Anton Jansen;;;;
Building;11591;Cazdak;Anton Jansen;;Ja;;
Building;11592;Cazdak;Anton Jansen;;;;
Building;11593;Cazdak;Anton Jansen;;;;
Building;11594;Cazdak;Anton Jansen;;Ja;;
Building;11601;Cazdak;Anton Jansen;;;;
Building;11611;Cazdak;Anton Jansen;;;;
Building;11612;Cazdak;Anton Jansen;;;;
Building;11631;Cazdak;Anton Jansen;;;;
Building;11632;Cazdak;Anton Jansen;;;;
Building;11633;Cazdak;Anton Jansen;;;;
Building;11641;Cazdak;Anton Jansen;;Ja;;
Building;11651;Cazdak;Anton Jansen;;;;
Building;11661;Cazdak;Anton Jansen;;;;
Building;11662;Cazdak;Anton Jansen;;;;
Building;11741;Cazdak;Anton Jansen;;;;
Building;11751;Cazdak;Anton Jansen;;;;
Building;11771;Cazdak;Anton Jansen;;;;
Building;11792;Cazdak;Anton Jansen;;;;
Building;11794;Cazdak;Anton Jansen;;;;
Building;11801;Cazdak;Anton Jansen;;;;
Building;11811;Cazdak;Anton Jansen;;;;
Building;11821;Cazdak;Anton Jansen;;;;
Building;11831;Cazdak;Anton Jansen;;;;
Building;11832;Cazdak;Anton Jansen;;;;
Building;11861;Cazdak;Anton Jansen;;;;
Building;11871;Cazdak;Anton Jansen;;;;
Building;11881;Cazdak;Anton Jansen;;;;
Building;11993;Cazdak;Anton Jansen;;;;
Building;11994;Cazdak;Anton Jansen;;;;
Building;12000;Cazdak;Anton Jansen;;Ja;Ja;
Building;12001;Cazdak;Anton Jansen;;;;
Building;12002;Cazdak;Anton Jansen;;;;
Building;12003;Cazdak;Anton Jansen;;;;
Building;12004;Cazdak;Anton Jansen;;;;
Building;12006;Cazdak;Anton Jansen;;;;
Building;12008;Cazdak;Anton Jansen;;Nee;;
Building;12012;Cazdak;Anton Jansen;;Nee;;
Building;12013;Cazdak;Anton Jansen;;Ja;;
Building;12014;Cazdak;Anton Jansen;;Ja;;
Building;12015;Cazdak;Anton Jansen;;Ja;;
Building;12016;Cazdak;Anton Jansen;;Ja;;
Building;12019;Cazdak;Anton Jansen;;;;
Building;12022;Cazdak;Anton Jansen;;;;
